Date,Passengers
1985-01-01,472565
1985-02-01,384175
1985-03-01,441095
1985-04-01,397076
1985-05-01,423252
1985-06-01,403023
1985-07-01,402775
1985-08-01,445703
1985-09-01,441150
1985-10-01,427581
1985-11-01,445214
1985-12-01,516764
1986-01-01,529800
1986-02-01,411692
1986-03-01,466973
1986-04-01,452302
1986-05-01,454437
1986-06-01,429986
1986-07-01,468522
1986-08-01,517035
1986-09-01,488399
1986-10-01,495952
1986-11-01,525617
1986-12-01,577722
1987-01-01,615083
1987-02-01,497167
1987-03-01,520467
1987-04-01,504091
1987-05-01,503746
1987-06-01,481180
1987-07-01,578017
1987-08-01,582982
1987-09-01,577253
1987-10-01,619931
1987-11-01,589496
1987-12-01,645019
1988-01-01,694638
1988-02-01,567891
1988-03-01,608905
1988-04-01,586001
1988-05-01,572184
1988-06-01,589426
1988-07-01,686808
1988-08-01,679612
1988-09-01,695302
1988-10-01,705324
1988-11-01,653745
1988-12-01,726946
1989-01-01,759105
1989-02-01,605516
1989-03-01,652597
1989-04-01,614561
1989-05-01,554201
1989-06-01,596871
1989-07-01,687601
1989-08-01,662764
1989-09-01,683148
1989-10-01,684053
1989-11-01,654152
1989-12-01,776534
1990-01-01,805057
1990-02-01,642429
1990-03-01,674544
1990-04-01,706087
1990-05-01,622084
1990-06-01,654316
1990-07-01,747907
1990-08-01,727970
1990-09-01,735768
1990-10-01,726454
1990-11-01,683420
1990-12-01,796189
1991-01-01,803517
1991-02-01,617877
1991-03-01,667751
1991-04-01,620954
1991-05-01,615795
1991-06-01,680909
1991-07-01,773907
1991-08-01,746672
1991-09-01,761540
1991-10-01,788793
1991-11-01,759914
1991-12-01,814948
1992-01-01,836957
1992-02-01,723041
1992-03-01,720362
1992-04-01,749081
1992-05-01,684100
1992-06-01,683574
1992-07-01,829566
1992-08-01,756952
1992-09-01,786876
1992-10-01,813432
1992-11-01,803152
1992-12-01,920835
1993-01-01,954950
1993-02-01,762122
1993-03-01,802406
1993-04-01,801714
1993-05-01,765014
1993-06-01,762046
1993-07-01,875868
1993-08-01,840410
1993-09-01,851241
1993-10-01,912066
1993-11-01,870832
1993-12-01,979616
1994-01-01,996876
1994-02-01,878229
1994-03-01,936622
1994-04-01,868914
1994-05-01,778175
1994-06-01,833127
1994-07-01,975958
1994-08-01,921183
1994-09-01,931157
1994-10-01,988011
1994-11-01,933872
1994-12-01,1071476
1995-01-01,1108644
1995-02-01,929699
1995-03-01,969214
1995-04-01,967666
1995-05-01,869725
1995-06-01,899148
1995-07-01,1079991
1995-08-01,1017517
1995-09-01,994897
1995-10-01,1040906
1995-11-01,1017149
1995-12-01,1168652
1996-01-01,1184228
1996-02-01,1061390
1996-03-01,1099872
1996-04-01,1061994
1996-05-01,915768
1996-06-01,1037087
1996-07-01,1132101
1996-08-01,1106417
1996-09-01,1093769
1996-10-01,1154728
1996-11-01,1132085
1996-12-01,1287748
1997-01-01,1289597
1997-02-01,1119171
1997-03-01,1197457
1997-04-01,1092930
1997-05-01,1019217
1997-06-01,1093260
1997-07-01,1275058
1997-08-01,1161855
1997-09-01,1147596
1997-10-01,1227022
1997-11-01,1189158
1997-12-01,1262534
1998-01-01,1294365
1998-02-01,1084544
1998-03-01,1108555
1998-04-01,1167442
1998-05-01,1064798
1998-06-01,1097186
1998-07-01,1247326
1998-08-01,1203283
1998-09-01,1193594
1998-10-01,1278742
1998-11-01,1192642
1998-12-01,1304828
1999-01-01,1374963
1999-02-01,1142774
1999-03-01,1228347
1999-04-01,1184670
1999-05-01,1079920
1999-06-01,1132972
1999-07-01,1317657
1999-08-01,1283836
1999-09-01,1289682
1999-10-01,1346342
1999-11-01,1281604
1999-12-01,1323796
2000-01-01,1405394
2000-02-01,1257078
2000-03-01,1291225
2000-04-01,1375755
2000-05-01,1189439
2000-06-01,1221886
2000-07-01,1433040
2000-08-01,1346541
2000-09-01,1392378
2000-10-01,1485165
2000-11-01,1460152
2000-12-01,1629621
2001-01-01,1653860
2001-02-01,1318929
2001-03-01,1411517
2001-04-01,1425328
2001-05-01,1238755
2001-06-01,1331218
2001-07-01,1546897
2001-08-01,1428363
2001-09-01,1378708
2001-10-01,1336058
2001-11-01,1237788
2001-12-01,1492294
2002-01-01,1527639
2002-02-01,1316401
2002-03-01,1448119
2002-04-01,1298349
2002-05-01,1211763
2002-06-01,1263964
2002-07-01,1464448
2002-08-01,1386352
2002-09-01,1358345
2002-10-01,1457981
2002-11-01,1389986
2002-12-01,1559026
2003-01-01,1598226
2003-02-01,1313673
2003-03-01,1313140
2003-04-01,1142926
2003-05-01,1003499
2003-06-01,1120815
2003-07-01,1421333
2003-08-01,1372287
2003-09-01,1428359
2003-10-01,1495050
2003-11-01,1524535
2003-12-01,1716888
2004-01-01,1778590
2004-02-01,1477681
2004-03-01,1514354
2004-04-01,1548877
2004-05-01,1380365
2004-06-01,1472967
2004-07-01,1730049
2004-08-01,1582345
2004-09-01,1603455
2004-10-01,1701472
2004-11-01,1668500
2004-12-01,1912395
2005-01-01,2006131
2005-02-01,1628595
2005-03-01,1740596
2005-04-01,1636392
2005-05-01,1484764
2005-06-01,1615039
2005-07-01,1879159
2005-08-01,1722250
2005-09-01,1741951
2005-10-01,1777284
2005-11-01,1690372
2005-12-01,1955866
2006-01-01,2041289
2006-02-01,1661876
2006-03-01,1698098
2006-04-01,1746986
2006-05-01,1513002
2006-06-01,1668818
2006-07-01,1882070
2006-08-01,1724624
2006-09-01,1798009
2006-10-01,1887700
2006-11-01,1783038
2006-12-01,2081574
2007-01-01,2134432
2007-02-01,1751844
2007-03-01,1888462
2007-04-01,1835602
2007-05-01,1610518
2007-06-01,1759894
2007-07-01,1982065
2007-08-01,1865596
2007-09-01,1907614
2007-10-01,1981703
2007-11-01,1902776
2007-12-01,2155173
2008-01-01,2207325
2008-02-01,1883528
2008-03-01,1968083
2008-04-01,1846754
2008-05-01,1745985
2008-06-01,1817971
2008-07-01,2127733
2008-08-01,1925024
2008-09-01,1871998
2008-10-01,2008790
2008-11-01,1889936
2008-12-01,2178903
2009-01-01,2249424
2009-02-01,1793147
2009-03-01,1871540
2009-04-01,1975608
2009-05-01,1764508
2009-06-01,1829895
2009-07-01,2139351
2009-08-01,1999799
2009-09-01,2086767
2009-10-01,2217762
2009-11-01,2075908
2009-12-01,2403191
2010-01-01,2482669
2010-02-01,2030127
2010-03-01,2145529
2010-04-01,2062773
2010-05-01,1886099
2010-06-01,2095679
2010-07-01,2401136
2010-08-01,2213745
2010-09-01,2316363
2010-10-01,2373199
2010-11-01,2205642
2010-12-01,2577354
2011-01-01,2709123
2011-02-01,2120226
2011-03-01,2111623
2011-04-01,2285449
