,Weddings
01/01/1947,19866
01/02/1947,22347
01/03/1947,33028
01/04/1947,41602
01/05/1947,27578
01/06/1947,39966
01/07/1947,36388
01/08/1947,43277
01/09/1947,39761
01/10/1947,28283
01/11/1947,27395
01/12/1947,41719
01/01/1948,22.958
01/02/1948,20630
01/03/1948,51855
01/04/1948,25729
01/05/1948,26577
01/06/1948,40516
01/07/1948,46248
01/08/1948,35343
01/09/1948,41566
01/10/1948,28248
01/11/1948,20142
01/12/1948,37079
01/01/1949,21.578
01/02/1949,22298
01/03/1949,37898
01/04/1949,39245
01/05/1949,16349
01/06/1949,39971
01/07/1949,42299
01/08/1949,32990
01/09/1949,39116
01/10/1949,26795
01/11/1949,17935
01/12/1949,38567
01/01/1950,15398
01/02/1950,21642
01/03/1950,49860
01/04/1950,31408
01/05/1950,18324
01/06/1950,30994
01/07/1950,37323
01/08/1950,35140
01/09/1950,42365
01/10/1950,21700
01/11/1950,16900
01/12/1950,37436
01/01/1951,14382
01/02/1951,17894
01/03/1951,77291
01/04/1951,14258
01/05/1951,17574
01/06/1951,34550
01/07/1951,33021
01/08/1951,35320
01/09/1951,42971
01/10/1951,21110
01/11/1951,15759
01/12/1951,36494
01/01/1952,13968
01/02/1952,22829
01/03/1952,69832
01/04/1952,22291
01/05/1952,17696
01/06/1952,29502
01/07/1952,31298
01/08/1952,37588
01/09/1952,34525
01/10/1952,20431
01/11/1952,18153
01/12/1952,31195
01/01/1953,15900
01/02/1953,20870
01/03/1953,56840
01/04/1953,30228
01/05/1953,18822
01/06/1953,28073
01/07/1953,32841
01/08/1953,38255
01/09/1953,34518
01/10/1953,23155
01/11/1953,15475
01/12/1953,30021
01/01/1954,16282
01/02/1954,21989
01/03/1954,57651
01/04/1954,28907
01/05/1954,14519
01/06/1954,30938
01/07/1954,38349
01/08/1954,30360
01/09/1954,35796
01/10/1954,23313
01/11/1954,15691
01/12/1954,27936
01/01/1955,17262
01/02/1955,22902
01/03/1955,60532
01/04/1955,31567
01/05/1955,16474
01/06/1955,26722
01/07/1955,38207
01/08/1955,30981
01/09/1955,37503
01/10/1955,26100
01/11/1955,16394
01/12/1955,33274
01/01/1956,13651
01/02/1956,19898
01/03/1956,73573
01/04/1956,21113
01/05/1956,15529
01/06/1956,32179
01/07/1956,30144
01/08/1956,34503
01/09/1956,42276
01/10/1956,21158
01/11/1956,15947
01/12/1956,32973
01/01/1957,13894
01/02/1957,19954
01/03/1957,76244
01/04/1957,19034
01/05/1957,12150
01/06/1957,34620
01/07/1957,28458
01/08/1957,38192
01/09/1957,36967
01/10/1957,21817
01/11/1957,18199
01/12/1957,27374
01/01/1958,12940
01/02/1958,20777
01/03/1958,68912
01/04/1958,21229
01/05/1958,17434
01/06/1958,27548
01/07/1958,27900
01/08/1958,37115
01/09/1958,36683
01/10/1958,24005
01/11/1958,19048
01/12/1958,26322
01/01/1959,15430
01/02/1959,18972
01/03/1959,67028
01/04/1959,20121
01/05/1959,17142
01/06/1959,26018
01/07/1959,27390
01/08/1959,35601
01/09/1959,39600
01/10/1959,32649
01/11/1959,15548
01/12/1959,24627
01/01/1960,15596
01/02/1960,21163
01/03/1960,52185
01/04/1960,30016
01/05/1960,13447
01/06/1960,29432
01/07/1960,33131
01/08/1960,29414
01/09/1960,41035
01/10/1960,36503
01/11/1960,15461
01/12/1960,26231
01/01/1961,12310
01/02/1961,18020
01/03/1961,54118
01/04/1961,32733
01/05/1961,16623
01/06/1961,26813
01/07/1961,31282
01/08/1961,30822
01/09/1961,50263
01/10/1961,31897
01/11/1961,15899
01/12/1961,25898
01/01/1962,12345
01/02/1962,18568
01/03/1962,70012
01/04/1962,16540
01/05/1962,13722
01/06/1962,32810
01/07/1962,26148
01/08/1962,29722
01/09/1962,51807
01/10/1962,34999
01/11/1962,15761
01/12/1962,25298
01/01/1963,12113
01/02/1963,19687
01/03/1963,65509
01/04/1963,16604
01/05/1963,13943
01/06/1963,33017
01/07/1963,26775
01/08/1963,36874
01/09/1963,47336
01/10/1963,38125
01/11/1963,19293
01/12/1963,22053
01/01/1964,12478
01/02/1964,20970
01/03/1964,64266
01/04/1964,22671
01/05/1964,18841
01/06/1964,26985
01/07/1964,27448
01/08/1964,35388
01/09/1964,48322
01/10/1964,44573
01/11/1964,16689
01/12/1964,20676
01/01/1965,15945
01/02/1965,22461
01/03/1965,60136
01/04/1965,27312
01/05/1965,17470
01/06/1965,28739
01/07/1965,32285
01/08/1965,31069
01/09/1965,50351
01/10/1965,47572
01/11/1965,17166
01/12/1965,20621
01/01/1966,17012
01/02/1966,22253
01/03/1966,62620
01/04/1966,30535
01/05/1966,16880
01/06/1966,26689
01/07/1966,32876
01/08/1966,31591
01/09/1966,50561
01/10/1966,52785
01/11/1966,16986
01/12/1966,23709
01/01/1967,14392
01/02/1967,20617
01/03/1967,69246
01/04/1967,26996
01/05/1967,17199
01/06/1967,25925
01/07/1967,32267
01/08/1967,32520
01/09/1967,62243
01/10/1967,42826
01/11/1967,17407
01/12/1967,24414
01/01/1968,14885
01/02/1968,22939
01/03/1968,80572
01/04/1968,17857
01/05/1968,15838
01/06/1968,32894
01/07/1968,30707
01/08/1968,42719
01/09/1968,55210
01/10/1968,45123
01/11/1968,24480
01/12/1968,24598
01/01/1969,16046
01/02/1969,20257
01/03/1969,41775
01/04/1969,32808
01/05/1969,31221
01/06/1969,35481
01/07/1969,36743
01/08/1969,48219
01/09/1969,48132
01/10/1969,36021
01/11/1969,25798
01/12/1969,24245
01/01/1970,20996
01/02/1970,22318
01/03/1970,38221
01/04/1970,30219
01/05/1970,34698
01/06/1970,38832
01/07/1970,40741
01/08/1970,50984
01/09/1970,48940
01/10/1970,40950
01/11/1970,22903
01/12/1970,25685
01/01/1971,20678
01/02/1971,20259
01/03/1971,30542
01/04/1971,34534
01/05/1971,34053
01/06/1971,38510
01/07/1971,46640
01/08/1971,41736
01/09/1971,48155
01/10/1971,40728
01/11/1971,23280
01/12/1971,25622
01/01/1972,21909
01/02/1972,22117
01/03/1972,36555
01/04/1972,38071
01/05/1972,30500
01/06/1972,37619
01/07/1972,47160
01/08/1972,43094
01/09/1972,55730
01/10/1972,35931
01/11/1972,25793
01/12/1972,31762
01/01/1973,18877
01/02/1973,22328
01/03/1973,41886
01/04/1973,32051
01/05/1973,27926
01/06/1973,39304
01/07/1973,38642
01/08/1973,41164
01/09/1973,51390
01/10/1973,33444
01/11/1973,23572
01/12/1973,29851
01/01/1974,17391
01/02/1974,21436
01/03/1974,38824
01/04/1974,30019
01/05/1974,26970
01/06/1974,38320
01/07/1974,36189
01/08/1974,47395
01/09/1974,43363
01/10/1974,32987
01/11/1974,26148
01/12/1974,25347
01/01/1975,16885
01/02/1975,21183
01/03/1975,43836
01/04/1975,25622
01/05/1975,30438
01/06/1975,32360
01/07/1975,36558
01/08/1975,47313
01/09/1975,43385
01/10/1975,33230
01/11/1975,25705
01/12/1975,24105
01/01/1976,18434
01/02/1976,22863
01/03/1976,32717
01/04/1976,27869
01/05/1976,27295
01/06/1976,30438
01/07/1976,40697
01/08/1976,37880
01/09/1976,42016
01/10/1976,34261
01/11/1976,20674
01/12/1976,23423
01/01/1977,17119
01/02/1977,20203
01/03/1977,31001
01/04/1977,34425
01/05/1977,23954
01/06/1977,33759
01/07/1977,40402
01/08/1977,37683
01/09/1977,39384
01/10/1977,32899
01/11/1977,21080
01/12/1977,25045
01/01/1978,15075
01/02/1978,19460
01/03/1978,36439
01/04/1978,29359
01/05/1978,26499
01/06/1978,33706
01/07/1978,43436
01/08/1978,40048
01/09/1978,46991
01/10/1978,29165
01/11/1978,22595
01/12/1978,25485
01/01/1979,14830
01/02/1979,19396
01/03/1979,35120
01/04/1979,29043
01/05/1979,28312
01/06/1979,39201
01/07/1979,36985
01/08/1979,40335
01/09/1979,47661
01/10/1979,30450
01/11/1979,22806
01/12/1979,24714
01/01/1980,14280
01/02/1980,19304
01/03/1980,34127
01/04/1980,30718
01/05/1980,35371
01/06/1980,35275
01/07/1980,37365
01/08/1980,47306
01/09/1980,40292
01/10/1980,30896
01/11/1980,24777
01/12/1980,20311
01/01/1981,15744
01/02/1981,21118
01/03/1981,26846
01/04/1981,31373
01/05/1981,34292
01/06/1981,32738
01/07/1981,36526
01/08/1981,43247
01/09/1981,39985
01/10/1981,31333
01/11/1981,19436
01/12/1981,19335
01/01/1982,13133
01/02/1982,16825
01/03/1982,24978
01/04/1982,31519
01/05/1982,31006
01/06/1982,33974
01/07/1982,41743
01/08/1982,39066
01/09/1982,41052
01/10/1982,30904
01/11/1982,18801
01/12/1982,19165
01/01/1983,12620
01/02/1983,16434
01/03/1983,25650
01/04/1983,32701
01/05/1983,29429
01/06/1983,34573
