,Weddings
01/01/1947,75241
01/04/1947,109146
01/07/1947,119426
01/10/1947,97397
01/01/1948,72507.958
01/04/1948,92822
01/07/1948,123157
01/10/1948,85469
01/01/1949,60217.578
01/04/1949,95565
01/07/1949,114405
01/10/1949,83297
01/01/1950,86900
01/04/1950,80726
01/07/1950,114828
01/10/1950,76036
01/01/1951,109567
01/04/1951,66382
01/07/1951,111312
01/10/1951,73363
01/01/1952,106629
01/04/1952,69489
01/07/1952,103411
01/10/1952,69779
01/01/1953,93610
01/04/1953,77123
01/07/1953,105614
01/10/1953,68651
01/01/1954,95922
01/04/1954,74364
01/07/1954,104505
01/10/1954,66940
01/01/1955,100696
01/04/1955,74763
01/07/1955,106691
01/10/1955,75768
01/01/1956,107122
01/04/1956,68821
01/07/1956,106923
01/10/1956,70078
01/01/1957,110092
01/04/1957,65804
01/07/1957,103617
01/10/1957,67390
01/01/1958,102629
01/04/1958,66211
01/07/1958,101698
01/10/1958,69375
01/01/1959,101430
01/04/1959,63281
01/07/1959,102591
01/10/1959,72824
01/01/1960,88944
01/04/1960,72895
01/07/1960,103580
01/10/1960,78195
01/01/1961,84448
01/04/1961,76169
01/07/1961,112367
01/10/1961,73694
01/01/1962,100925
01/04/1962,63072
01/07/1962,107677
01/10/1962,76058
01/01/1963,97309
01/04/1963,63564
01/07/1963,110985
01/10/1963,79471
01/01/1964,97714
01/04/1964,68497
01/07/1964,111158
01/10/1964,81938
01/01/1965,98542
01/04/1965,73521
01/07/1965,113705
01/10/1965,85359
01/01/1966,101885
01/04/1966,74104
01/07/1966,115028
01/10/1966,93480
01/01/1967,104255
01/04/1967,70120
01/07/1967,127030
01/10/1967,84647
01/01/1968,118396
01/04/1968,66589
01/07/1968,128636
01/10/1968,94201
01/01/1969,78078
01/04/1969,99510
01/07/1969,133094
01/10/1969,86064
01/01/1970,81535
01/04/1970,103749
01/07/1970,140665
01/10/1970,89538
01/01/1971,71479
01/04/1971,107097
01/07/1971,136531
01/10/1971,89630
01/01/1972,80581
01/04/1972,106190
01/07/1972,145984
01/10/1972,93486
01/01/1973,83091
01/04/1973,99281
01/07/1973,131196
01/10/1973,86867
01/01/1974,77651
01/04/1974,95309
01/07/1974,126947
01/10/1974,84482
01/01/1975,81904
01/04/1975,88420
01/07/1975,127256
01/10/1975,83040
01/01/1976,74014
01/04/1976,85602
01/07/1976,120593
01/10/1976,78358
01/01/1977,68323
01/04/1977,92138
01/07/1977,117469
01/10/1977,79024
01/01/1978,70974
01/04/1978,89564
01/07/1978,130475
01/10/1978,77245
01/01/1979,69346
01/04/1979,96556
01/07/1979,124981
01/10/1979,77970
01/01/1980,67711
01/04/1980,101364
01/07/1980,124963
01/10/1980,75984
01/01/1981,63708
01/04/1981,98403
01/07/1981,119758
01/10/1981,70104
01/01/1982,54936
01/04/1982,96499
01/07/1982,121861
01/10/1982,68870
01/01/1983,54704
01/04/1983,96703
01/07/1983,124170
01/10/1983,68757
01/01/1984,54407
01/04/1984,102068
01/07/1984,129019
01/10/1984,63692
01/01/1985,51126
01/04/1985,100735
01/07/1985,131035
01/10/1985,63493
01/01/1986,50848
01/04/1986,98059
01/07/1986,132850
01/10/1986,66167
01/01/1987,48846
01/04/1987,101792
01/07/1987,135746
01/10/1987,65377
01/01/1988,46315
01/04/1988,99310
01/07/1988,135298
01/10/1988,67569
01/01/1989,48308
01/04/1989,98138
01/07/1989,138592
01/10/1989,61659
01/01/1990,47080
01/04/1990,101197
01/07/1990,127310
01/10/1990,55563
01/01/1991,41488
01/04/1991,89538
01/07/1991,121508
01/10/1991,54222
01/01/1992,40065
01/04/1992,89039
01/07/1992,128480
01/10/1992,53980
01/01/1993,36506
01/04/1993,88221
01/07/1993,121553
01/10/1993,52917
01/01/1994,36776
01/04/1994,83850
01/07/1994,118385
01/10/1994,52058
01/01/1995,34011
01/04/1995,81412
01/07/1995,119768
01/10/1995,47821
01/01/1996,36477
01/04/1996,80688
01/07/1996,114018
01/10/1996,47792
01/01/1997,34948
01/04/1997,76709
01/07/1997,113229
01/10/1997,47650
01/01/1998,33406
01/04/1998,75015
01/07/1998,110213
01/10/1998,48669
01/01/1999,32461
01/04/1999,73152
01/07/1999,109489
01/10/1999,48413
01/01/2000,31492
01/04/2000,74194
01/07/2000,116695
01/10/2000,45580
01/01/2001,28836
01/04/2001,70876
01/07/2001,105331
01/10/2001,44184
01/01/2002,31893
01/04/2002,71124
01/07/2002,105671
01/10/2002,46908
01/01/2003,34025
01/04/2003,75152
01/07/2003,111869
01/10/2003,49063
01/01/2004,35022
01/04/2004,74980
01/07/2004,113171
01/10/2004,49896
01/01/2005,30395
01/04/2005,68178
01/07/2005,105277
01/10/2005,43955
01/01/2006,25880
01/04/2006,66251
01/07/2006,106173
01/10/2006,41150
01/01/2007,26945
01/04/2007,66032
01/07/2007,101292
01/10/2007,41098
01/01/2008,27610
01/04/2008,64060
01/07/2008,100109
01/10/2008,44015
01/01/2009,26808
01/04/2009,64990
01/07/2009,97045
01/10/2009,43600
01/01/2010,26775
01/04/2010,69613
01/07/2010,101474
01/10/2010,45946
01/01/2011,25581
01/04/2011,72267
01/07/2011,103680
01/10/2011,47605
