,INDPRO,GDP
01/01/1947,13.6351,
01/02/1947,13.7156,
01/03/1947,13.7962,1934.471
01/04/1947,13.6888,
01/05/1947,13.7425,
01/06/1947,13.7425,1932.281
01/07/1947,13.6619,
01/08/1947,13.7425,
01/09/1947,13.8498,1930.315
01/10/1947,13.984,
01/11/1947,14.1719,
01/12/1947,14.2256,1960.705
01/01/1948,14.3061,
01/02/1948,14.333,
01/03/1948,14.1719,1989.535
01/04/1948,14.1988,
01/05/1948,14.4403,
01/06/1948,14.6282,2021.851
01/07/1948,14.6282,
01/08/1948,14.5745,
01/09/1948,14.4672,2033.155
01/10/1948,14.5745,
01/11/1948,14.3867,
01/12/1948,14.2524,2035.329
01/01/1949,14.1182,
01/02/1949,13.984,
01/03/1949,13.7156,2007.522
01/04/1949,13.6351,
01/05/1949,13.4472,
01/06/1949,13.4204,2000.788
01/07/1949,13.3935,
01/08/1949,13.5277,
01/09/1949,13.662,2022.798
01/10/1949,13.152,
01/11/1949,13.5009,
01/12/1949,13.7425,2004.653
01/01/1950,13.984,
01/02/1950,14.0377,
01/03/1950,14.494,2084.559
01/04/1950,14.9771,
01/05/1950,15.3261,
01/06/1950,15.7824,2147.592
01/07/1950,16.2923,
01/08/1950,16.8023,
01/09/1950,16.695,2230.362
01/10/1950,16.8023,
01/11/1950,16.7755,
01/12/1950,17.0707,2273.435
01/01/1951,17.1244,
01/02/1951,17.2318,
01/03/1951,17.3123,2304.542
01/04/1951,17.3391,
01/05/1951,17.2855,
01/06/1951,17.2049,2344.517
01/07/1951,16.9365,
01/08/1951,16.7755,
01/09/1951,16.8828,2392.808
01/10/1951,16.856,
01/11/1951,16.9902,
01/12/1951,17.0976,2398.105
01/01/1952,17.2854,
01/02/1952,17.3928,
01/03/1952,17.4465,2423.457
01/04/1952,17.2854,
01/05/1952,17.1244,
01/06/1952,16.9634,2428.516
01/07/1952,16.6949,
01/08/1952,17.7686,
01/09/1952,18.4128,2446.081
01/10/1952,18.6007,
01/11/1952,18.9764,
01/12/1952,19.0838,2526.359
01/01/1953,19.1375,
01/02/1953,19.2448,
01/03/1953,19.4059,2573.372
01/04/1953,19.4864,
01/05/1953,19.5938,
01/06/1953,19.5132,2593.456
01/07/1953,19.7548,
01/08/1953,19.6474,
01/09/1953,19.2448,2578.922
01/10/1953,19.0838,
01/11/1953,18.6275,
01/12/1953,18.1712,2539.786
01/01/1954,18.037,
01/02/1954,18.0907,
01/03/1954,17.9833,2528.043
01/04/1954,17.8759,
01/05/1954,17.9833,
01/06/1954,18.037,2530.689
01/07/1954,18.0638,
01/08/1954,18.037,
01/09/1954,18.0638,2559.397
01/10/1954,18.2786,
01/11/1954,18.5738,
01/12/1954,18.8154,2609.272
01/01/1955,19.2448,
01/02/1955,19.4864,
01/03/1955,19.9427,2683.766
01/04/1955,20.1843,
01/05/1955,20.5063,
01/06/1955,20.5332,2727.452
01/07/1955,20.6942,
01/08/1955,20.6674,
01/09/1955,20.8016,2764.128
01/10/1955,21.1505,
01/11/1955,21.2042,
01/12/1955,21.2847,2780.762
01/01/1956,21.4189,
01/02/1956,21.2311,
01/03/1956,21.2311,2770.032
01/04/1956,21.3921,
01/05/1956,21.2042,
01/06/1956,21.0163,2792.872
01/07/1956,20.3721,
01/08/1956,21.2042,
01/09/1956,21.6873,2790.588
01/10/1956,21.8752,
01/11/1956,21.6873,
01/12/1956,22.0094,2836.238
01/01/1957,21.9289,
01/02/1957,22.1437,
01/03/1957,22.1168,2854.517
01/04/1957,21.8215,
01/05/1957,21.741,
01/06/1957,21.7947,2848.186
01/07/1957,21.9289,
01/08/1957,21.9289,
01/09/1957,21.741,2875.927
01/10/1957,21.4189,
01/11/1957,20.909,
01/12/1957,20.5063,2846.446
01/01/1958,20.1306,
01/02/1958,19.7011,
01/03/1958,19.4596,2772.654
01/04/1958,19.1375,
01/05/1958,19.3253,
01/06/1958,19.8353,2790.948
01/07/1958,20.1306,
01/08/1958,20.5332,
01/09/1958,20.7211,2855.472
01/10/1958,20.9626,
01/11/1958,21.58,
01/12/1958,21.6068,2922.264
01/01/1959,21.9289,
01/02/1959,22.3584,
01/03/1959,22.6805,2976.629
01/04/1959,23.1636,
01/05/1959,23.5125,
01/06/1959,23.5394,3049.011
01/07/1959,22.9757,
01/08/1959,22.1973,
01/09/1959,22.1705,3043.139
01/10/1959,22.0094,
01/11/1959,22.1436,
01/12/1959,23.5125,3055.104
01/01/1960,24.1298,
01/02/1960,23.9151,
01/03/1960,23.7004,3123.162
01/04/1960,23.5125,
01/05/1960,23.4857,
01/06/1960,23.1904,3111.31
01/07/1960,23.1099,
01/08/1960,23.0831,
01/09/1960,22.8415,3119.057
01/10/1960,22.8147,
01/11/1960,22.4926,
01/12/1960,22.0631,3081.3
01/01/1961,22.09,
01/02/1961,22.0631,
01/03/1961,22.1973,3102.251
01/04/1961,22.6536,
01/05/1961,23.0025,
01/06/1961,23.3246,3159.918
01/07/1961,23.593,
01/08/1961,23.8078,
01/09/1961,23.7809,3212.606
01/10/1961,24.2372,
01/11/1961,24.613,
01/12/1961,24.8277,3277.717
01/01/1962,24.613,
01/02/1962,25.0156,
01/03/1962,25.1498,3336.753
01/04/1962,25.2035,
01/05/1962,25.1766,
01/06/1962,25.123,3372.706
01/07/1962,25.3645,
01/08/1962,25.3914,
01/09/1962,25.5524,3404.833
01/10/1962,25.5793,
01/11/1962,25.6866,
01/12/1962,25.6866,3418.046
01/01/1963,25.8745,
01/02/1963,26.1698,
01/03/1963,26.3308,3456.08
01/04/1963,26.5724,
01/05/1963,26.8945,
01/06/1963,26.975,3501.134
01/07/1963,26.8676,
01/08/1963,26.9213,
01/09/1963,27.1897,3569.479
01/10/1963,27.3776,
01/11/1963,27.5118,
01/12/1963,27.4581,3594.954
01/01/1964,27.6997,
01/02/1964,27.8876,
01/03/1964,27.8876,3672.708
01/04/1964,28.3439,
01/05/1964,28.5049,
01/06/1964,28.5854,3716.382
01/07/1964,28.7733,
01/08/1964,28.9612,
01/09/1964,29.0686,3766.862
01/10/1964,28.6659,
01/11/1964,29.5517,
01/12/1964,29.9006,3780.219
01/01/1965,30.2227,
01/02/1965,30.4106,
01/03/1965,30.8132,3873.452
01/04/1965,30.9474,
01/05/1965,31.189,
01/06/1965,31.4305,3926.406
01/07/1965,31.7258,
01/08/1965,31.86,
01/09/1965,31.9405,4006.152
01/10/1965,32.2626,
01/11/1965,32.3968,
01/12/1965,32.7994,4100.631
01/01/1966,33.1215,
01/02/1966,33.3363,
01/03/1966,33.7925,4201.891
01/04/1966,33.8462,
01/05/1966,34.1683,
01/06/1966,34.3293,4219.097
01/07/1966,34.5172,
01/08/1966,34.5441,
01/09/1966,34.8662,4249.152
01/10/1966,35.1077,
01/11/1966,34.8661,
01/12/1966,34.9467,4285.582
01/01/1967,35.1115,
01/02/1967,34.7133,
01/03/1967,34.5176,4324.926
01/04/1967,34.8432,
01/05/1967,34.5392,
01/06/1967,34.5349,4328.72
01/07/1967,34.4562,
01/08/1967,35.1164,
01/09/1967,35.0594,4366.088
01/10/1967,35.3449,
01/11/1967,35.8504,
01/12/1967,36.2365,4401.233
01/01/1968,36.1975,
01/02/1968,36.3272,
01/03/1968,36.4406,4490.609
01/04/1968,36.4934,
