,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
20050101,24156.392,22789.903,21500.152,20397.492,19655.632,19578.056,20072.265,20334.963,20509.817,22542.422,24484.527,25979.853,26045.219,24321.639,23328.714,23224.184,24639.128,27956.191,28897.359,29238.868,28821.133,27732.984,26195.252,24153.524
20050102,22483.001,20808.835,19727.259,19177.972,19062.127,19283.064,20416.383,21589.741,22896.903,25285.349,26819.127,27405.15,26881.871,25471.189,25148.575,25031.707,25968.413,29588.484,30806.121,30981.663,30284.431,28922.502,27012.424,24714.861
20050103,24028.042,22331.473,21413.521,20982.797,21159.609,22361.375,25918.771,29962.891,34284.891,37256.666,37995.242,37763.015,36309.394,35354.509,35996.225,36084.258,37953.798,40952.787,41305.289,39722.731,37534.104,35142.814,32196.118,29198.176
20050104,26132.728,24426.159,23469.14,23237.76,23560.523,24810.488,28193.936,33296.291,37893.638,40111.019,40195.512,39525.779,37486.377,36455.921,37461.235,37957.449,40019.891,42918.213,43099.572,41039.822,38654.77,35854.415,32778.364,29578.278
20050105,26649.855,24887.283,23929.874,23564.756,23754.212,24786.644,27766.352,31915.357,35768.909,38684.607,39320.314,39169.563,37514.252,36123.423,36341.621,36953.145,38777.824,42013.397,42173.056,40600.517,38249.931,35723.467,32723.572,29796.269
20050106,25713.715,24260.039,23065.364,22398.869,22139.763,22240.559,22986.393,24072.953,25471.399,27962.799,29612.192,30220.379,29493.855,27553.734,26955.822,26981.768,28116.427,31680.699,32736.779,32858.735,32320.293,30904.562,28882.727,26520.154
20050107,25083.134,23436.539,22487.76,22217.379,22432.876,23492.308,26795.396,31219.287,34618.961,36886.362,37499.595,37476.022,36144.585,34904.247,35282.512,35921.066,37650.788,40764.614,41074.143,39946.745,37762.005,35436.415,32551.882,29584.521
20050108,26616.904,24997.479,23967.35,23532.593,23506.487,24055.858,26538.932,30720.991,33961.077,36018.039,35992.198,35175.123,33099.367,31326.154,30867.1,30941.808,32421.921,35729.009,37078.397,36655.387,34669.656,32543.927,30181.08,27577.541
20050109,25626.138,23872.994,22725.201,22199.414,21895.608,22146.836,22914.996,23997.044,25660.759,28588.639,30224.717,30668.458,29849.375,28075.799,27547.863,27384.561,28024.878,31325.303,32987.496,33005.84,32400.091,30916.812,28982.246,26440.296
20050110,24513.086,22968.924,22380.976,22395.884,22813.696,24738.77,30522.101,38161.597,43456.177,45158.833,45076.389,44886.875,41642.485,41683.909,43376.304,43994.711,45153.04,46865,45630.992,43246.148,40915.75,37992.571,34765.134,31603.611
