DATE,UNRATENSA,GDPC1
1948-03-01,4.5,1989.5
1948-06-01,3.9,2021.9
1948-09-01,3.4,2033.2
1948-12-01,3.6,2035.3
1949-03-01,5.6,2007.5
1949-06-01,6.4,2000.8
1949-09-01,5.9,2022.8
1949-12-01,6,2004.7
1950-03-01,7.1,2084.6
1950-06-01,5.6,2147.6
1950-09-01,4,2230.4
1950-12-01,3.9,2273.4
1951-03-01,3.8,2304.5
1951-06-01,3.4,2344.5
1951-09-01,3,2392.8
1951-12-01,2.9,2398.1
1952-03-01,3.3,2423.5
1952-06-01,3.2,2428.5
1952-09-01,2.7,2446.1
1952-12-01,2.5,2526.4
1953-03-01,2.9,2573.4
1953-06-01,2.7,2593.5
1953-09-01,2.6,2578.9
1953-12-01,4.2,2539.8
1954-03-01,6.4,2528
1954-06-01,5.7,2530.7
1954-09-01,5.3,2559.4
1954-12-01,4.8,2609.3
1955-03-01,5.2,2683.8
1955-06-01,4.4,2727.5
1955-09-01,3.5,2764.1
1955-12-01,3.9,2780.8
1956-03-01,4.7,2770
1956-06-01,4.7,2792.9
1956-09-01,3.4,2790.6
1956-12-01,4,2836.2
1957-03-01,4.3,2854.5
1957-06-01,4.6,2848.2
1957-09-01,3.7,2875.9
1957-12-01,5,2846.4
1958-03-01,7.7,2772.7
1958-06-01,7.6,2790.9
1958-09-01,6,2855.5
1958-12-01,6,2922.3
1959-03-01,6.4,2976.6
1959-06-01,5.4,3049
1959-09-01,4.7,3043.1
1959-12-01,5.1,3055.1
1960-03-01,6.1,3123.2
1960-06-01,5.8,3111.3
1960-09-01,4.7,3119.1
1960-12-01,6.4,3081.3
1961-03-01,7.7,3102.3
1961-06-01,7.3,3159.9
1961-09-01,5.8,3212.6
1961-12-01,5.8,3277.7
1962-03-01,6.2,3336.8
1962-06-01,5.9,3372.7
1962-09-01,4.9,3404.8
1962-12-01,5.3,3418
1963-03-01,6.3,3456.1
1963-06-01,6.2,3501.1
1963-09-01,4.8,3569.5
1963-12-01,5.3,3595
1964-03-01,5.9,3672.7
1964-06-01,5.9,3716.4
1964-09-01,4.5,3766.9
1964-12-01,4.7,3780.2
1965-03-01,5.1,3873.5
1965-06-01,5.3,3926.4
1965-09-01,3.8,4006.2
1965-12-01,3.7,4100.6
1966-03-01,4,4201.9
1966-06-01,4.6,4219.1
1966-09-01,3.3,4249.2
1966-12-01,3.5,4285.6
1967-03-01,3.9,4324.9
1967-06-01,4.6,4328.7
1967-09-01,3.7,4366.1
1967-12-01,3.5,4401.2
1968-03-01,3.8,4490.6
1968-06-01,4.5,4566.4
1968-09-01,3.3,4599.3
1968-12-01,3.1,4619.8
1969-03-01,3.5,4691.6
1969-06-01,4.1,4706.7
1969-09-01,3.7,4736.1
1969-12-01,3.2,4715.5
1970-03-01,4.6,4707.1
1970-06-01,5.6,4715.4
1970-09-01,5.2,4757.2
1970-12-01,5.6,4708.3
1971-03-01,6.3,4834.3
1971-06-01,6.5,4861.9
1971-09-01,5.8,4900
1971-12-01,5.5,4914.3
1972-03-01,6.1,5002.4
1972-06-01,6.2,5118.3
1972-09-01,5.4,5165.4
1972-12-01,4.8,5251.2
1973-03-01,5.2,5380.5
1973-06-01,5.4,5441.5
