Date,DateYYYYMMDD,BRENT_SPOT,BRENT_FUT_NYM,INTRATE
24/01/2008,20080124,87.28,86.7,2.1818
25/01/2008,20080125,87.98,86.7,2.1681
28/01/2008,20080128,90.52,89.06,2.0972
29/01/2008,20080129,90.37,89.06,2.1617
30/01/2008,20080130,91.82,89.95,1.7791
31/01/2008,20080131,92.39,89.95,1.5905
01/02/2008,20080201,91.58,89.95,1.8248
04/02/2008,20080204,91.12,87.91,2.1227
05/02/2008,20080205,89.78,87.91,2.1694
06/02/2008,20080206,89.2,86.41,2.0876
07/02/2008,20080207,88.61,87.32,2.2099
08/02/2008,20080208,87.86,87.32,2.2006
11/02/2008,20080211,90.18,91.43,2.2338
12/02/2008,20080212,92.61,90.9,2.5342
13/02/2008,20080213,93.03,91.27,2.4856
14/02/2008,20080214,93.22,93.22,2.4879
15/02/2008,20080215,95.14,93.22,2.3679
18/02/2008,20080218,95.25,92.82,2.3781
19/02/2008,20080219,95.03,95.91,2.3749
20/02/2008,20080220,98.83,96.07,2.3937
21/02/2008,20080221,99.35,94.61,2.3349
22/02/2008,20080222,97.52,94.61,2.3322
25/02/2008,20080225,96.82,95.85,2.3419
26/02/2008,20080226,97.41,97.45,2.3326
27/02/2008,20080227,98.27,96.64,2.1896
28/02/2008,20080228,99.17,99.32,2.0569
29/02/2008,20080229,99.42,99.32,2.0797
03/03/2008,20080303,100.49,98.91,1.9927
04/03/2008,20080304,100.6,96.04,2.0367
05/03/2008,20080305,99.59,99.39,1.9397
06/03/2008,20080306,99.57,99.84,1.7357
07/03/2008,20080307,102.07,99.84,1.6643
10/03/2008,20080310,102.67,99.38,1.6768
11/03/2008,20080311,102.9,100.43,1.8226
12/03/2008,20080312,104.94,101.88,1.6466
13/03/2008,20080313,105.58,103.05,1.5701
14/03/2008,20080314,105.58,103.05,1.1778
17/03/2008,20080317,107.44,98.87,0.4526
18/03/2008,20080318,104.01,102.98,1.071
19/03/2008,20080319,104.38,98.41,1.071
20/03/2008,20080320,102.73,97.83,0.211
21/03/2008,20080321,101.53,97.83,0.2084
24/03/2008,20080324,99.4,97.43,0.4513
25/03/2008,20080325,100.11,98.35,1.346
26/03/2008,20080326,99.4,101.1,1.3129
27/03/2008,20080327,102.69,101.99,1.3026
28/03/2008,20080328,104.74,101.99,1.2924
31/03/2008,20080331,104.17,97.79,1.2006
01/04/2008,20080401,103.18,97.47,1.5023
02/04/2008,20080402,100.09,100.89,1.56
03/04/2008,20080403,101.16,99.45,1.5701
04/04/2008,20080404,102.74,99.45,1.5012
07/04/2008,20080407,103.75,104.12,1.4094
08/04/2008,20080408,106.33,103.43,1.2594
09/04/2008,20080409,106.54,105.09,1.0684
10/04/2008,20080410,107.07,105,0.8978
11/04/2008,20080411,108.66,105,0.8902
14/04/2008,20080414,108.34,106.39,0.8341
15/04/2008,20080415,109.07,108.42,0.7986
16/04/2008,20080416,111.19,109.67,0.8368
17/04/2008,20080417,111.88,109.74,0.9156
18/04/2008,20080418,112.58,109.74,0.8623
21/04/2008,20080421,112.34,111.51,0.7425
22/04/2008,20080422,114.02,112.86,0.6815
23/04/2008,20080423,115.04,113.39,0.7172
24/04/2008,20080424,115.7,110.99,0.7757
25/04/2008,20080425,115.32,110.99,0.7782
28/04/2008,20080428,115.81,112.91,0.969
29/04/2008,20080429,116.79,110.37,1.2722
30/04/2008,20080430,114.78,108.55,1.2034
01/05/2008,20080501,112.75,107.75,1.1549
02/05/2008,20080502,110.61,107.75,1.1549
05/05/2008,20080505,112.51,115.2,1.3126
06/05/2008,20080506,116.49,117.29,1.5447
07/05/2008,20080507,119.22,119.41,1.5676
08/05/2008,20080508,120.88,120.61,1.5574
09/05/2008,20080509,121.99,120.61,1.6006
12/05/2008,20080512,124.78,122.72,1.7277
13/05/2008,20080513,123.84,124.03,1.8837
14/05/2008,20080514,121.74,123.68,1.8632
15/05/2008,20080515,122.41,122.95,1.8377
16/05/2008,20080516,120.98,122.95,1.8452
19/05/2008,20080519,124.79,127.28,1.952
20/05/2008,20080520,124.75,131.21,1.9857
21/05/2008,20080521,126.2,135.66,1.9754
22/05/2008,20080522,129.91,131.5,1.983
23/05/2008,20080523,132.73,131.5,1.983
26/05/2008,20080526,132.07,132.45,1.9344
27/05/2008,20080527,132.51,129.55,1.9289
28/05/2008,20080528,130.41,130.8,2.006
29/05/2008,20080529,127.84,127.5,2.0238
30/05/2008,20080530,128.87,127.5,1.9931
02/06/2008,20080602,127.5,129.33,1.9545
03/06/2008,20080603,127.23,126.84,1.9016
04/06/2008,20080604,126.51,124.5,1.9015
05/06/2008,20080605,122.97,129.29,1.802
06/06/2008,20080606,123.68,129.29,1.751
09/06/2008,20080609,132.58,135.14,1.8042
10/06/2008,20080610,135.04,133.37,2.0036
11/06/2008,20080611,134.31,138.39,1.8939
12/06/2008,20080612,133.62,138.39,1.8939
13/06/2008,20080613,133.43,138.39,1.8631
16/06/2008,20080616,134.32,138.04,1.901
17/06/2008,20080617,135.92,137.26,1.8353
18/06/2008,20080618,133.41,138.97,1.7001
19/06/2008,20080619,134.01,134.73,1.5879
20/06/2008,20080620,134.6,134.73,1.486
23/06/2008,20080623,134.5,138.11,1.5011
24/06/2008,20080624,135.92,138.71,1.5932
25/06/2008,20080625,136.59,136.91,1.4759
26/06/2008,20080626,135.26,141.78,1.4759
27/06/2008,20080627,136.85,141.78,1.3815
30/06/2008,20080630,140.91,143.17,1.5342
01/07/2008,20080701,141.71,144.1,1.8889
02/07/2008,20080702,142.13,146.93,1.8735
03/07/2008,20080703,142.29,148.54,1.8632
04/07/2008,20080704,145.65,148.54,1.8607
07/07/2008,20080707,145.03,145.46,1.8119
08/07/2008,20080708,142.49,140.67,1.8119
09/07/2008,20080709,138.31,140.7,1.8021
10/07/2008,20080710,137.54,145.95,1.8021
11/07/2008,20080711,138.45,145.95,1.3332
14/07/2008,20080714,145.49,148.51,1.384
15/07/2008,20080715,143.58,143,1.384
16/07/2008,20080716,142.09,139.85,1.8092
17/07/2008,20080717,136.18,135.15,1.3296
18/07/2008,20080718,134.52,135.15,1.2889
21/07/2008,20080721,131.87,136.58,1.309
22/07/2008,20080722,131.74,133.99,1.4897
23/07/2008,20080723,130.92,130.16,1.4897
24/07/2008,20080724,127.1,130.76,1.5659
25/07/2008,20080725,125.62,130.76,1.7258
28/07/2008,20080728,125.74,129.73,1.6748
29/07/2008,20080729,125.78,127.03,1.7261
30/07/2008,20080730,124.16,130.92,1.6548
31/07/2008,20080731,123.43,128.16,1.5226
01/08/2008,20080801,125.39,128.16,1.5098
04/08/2008,20080804,123.44,125.48,1.5935
05/08/2008,20080805,123.1,122.58,1.5935
06/08/2008,20080806,117.95,121.23,1.7159
07/08/2008,20080807,117.22,121.56,1.5328
08/08/2008,20080808,118.15,121.56,1.6089
11/08/2008,20080811,114.89,117.93,1.7561
12/08/2008,20080812,113.35,116.17,1.7561
13/08/2008,20080813,111.4,118.24,1.7971
14/08/2008,20080814,111.99,117.34,1.7462
15/08/2008,20080815,112.71,117.34,1.7207
18/08/2008,20080818,111.88,116.11,1.7256
19/08/2008,20080819,112.32,117.52,1.8176
20/08/2008,20080820,111.62,118.94,1.7463
21/08/2008,20080821,113.38,124.73,1.7361
22/08/2008,20080822,117.76,124.73,1.6902
25/08/2008,20080825,117.42,118.87,1.6443
26/08/2008,20080826,114.12,119.38,1.6879
27/08/2008,20080827,113.68,120.79,1.5837
28/08/2008,20080828,115.74,118.49,1.6039
29/08/2008,20080829,116.23,118.49,1.6089
01/09/2008,20080901,115.02,118.39,1.6115
02/09/2008,20080902,111.5,113.82,1.629
03/09/2008,20080903,106.95,113.01,1.6385
04/09/2008,20080904,106.88,111.47,1.5429
05/09/2008,20080905,107.18,111.47,1.5784
08/09/2008,20080908,104.74,109.04,1.596
09/09/2008,20080909,104.26,106.03,1.571
10/09/2008,20080910,101.3,104.8,1.5735
11/09/2008,20080911,99.87,103.17,1.5429
12/09/2008,20080912,98.24,103.17,1.3574
15/09/2008,20080915,98.11,98.48,0.2484
16/09/2008,20080916,92.15,92.93,0.2611
17/09/2008,20080917,89.99,98.23,0.2535
18/09/2008,20080918,91.87,98.84,0.2637
19/09/2008,20080919,95.09,98.84,0.5629
22/09/2008,20080922,97.7,109,0.568
23/09/2008,20080923,103.21,105.49,0.9944
24/09/2008,20080924,103.66,105.13,0.1166
25/09/2008,20080925,104.16,107.58,0.1115
26/09/2008,20080926,101.82,107.58,0.1115
29/09/2008,20080929,102.24,98.17,0.0608
30/09/2008,20080930,97.83,102.48,0.7736
01/10/2008,20081001,96.22,99.78,0.6086
02/10/2008,20081002,96.31,94.72,0.6898
03/10/2008,20081003,92.38,94.72,0.1242
06/10/2008,20081006,90.39,88.38,0.0837
07/10/2008,20081007,85.94,89.26,0.2231
08/10/2008,20081008,84.98,89.25,0.1622
09/10/2008,20081009,82.83,87.71,0.1115
10/10/2008,20081010,83.46,87.71,0.1115
13/10/2008,20081013,76.12,83.49,0.0558
14/10/2008,20081014,76.9,80.73,0.1141
15/10/2008,20081015,77.67,77.01,0.1521
16/10/2008,20081016,71.53,72.16,0.071
17/10/2008,20081017,66.28,72.16,0.071
20/10/2008,20081020,68.26,75.86,0.071
21/10/2008,20081021,70.72,73.52,0.6612
22/10/2008,20081022,69.9,68.18,0.5528
23/10/2008,20081023,65.99,69.28,0.3397
24/10/2008,20081024,65.75,69.28,0.2459
27/10/2008,20081027,61.8,65.65,0.2637
28/10/2008,20081028,60.67,64.84,0.3981
29/10/2008,20081029,61.18,69.62,0.2763
30/10/2008,20081030,64.29,68.14,0.1166
31/10/2008,20081031,63.95,68.14,0.1166
03/11/2008,20081103,62.25,65.66,0.1521
04/11/2008,20081104,62.64,72.06,0.289
05/11/2008,20081105,62.6,67.08,0.1141
06/11/2008,20081106,63.25,62.9,0.1191
07/11/2008,20081107,59.1,62.9,0.1039
10/11/2008,20081110,58.01,64.51,0.1039
11/11/2008,20081111,59.41,61.21,0.0938
12/11/2008,20081112,56.16,58.14,0.0532
13/11/2008,20081113,53.89,60.1,0.076
14/11/2008,20081114,51.99,60.1,0.0558
17/11/2008,20081117,54.58,55.91,0.0558
18/11/2008,20081118,53.11,55.31,0.0913
19/11/2008,20081119,51.83,54.99,0.0608
20/11/2008,20081120,51.4,51.24,0.0456
21/11/2008,20081121,49.19,51.24,0.0712
24/11/2008,20081124,48.87,57.14,0.0431
25/11/2008,20081125,51.24,54.02,0.0279
26/11/2008,20081126,51.5,57.73,0.0279
27/11/2008,20081127,52.23,57.73,0.0203
28/11/2008,20081128,53.09,57.73,0.0203
01/12/2008,20081201,52.49,51.92,0.0279
02/12/2008,20081202,49.65,49.58,0.0304
03/12/2008,20081203,47.22,49.86,0.0152
04/12/2008,20081204,42.45,46.8,0.0203
05/12/2008,20081205,43.84,46.8,0.0203
08/12/2008,20081208,40.93,48.09,0.0127
09/12/2008,20081209,41.99,46.44,0.0304
10/12/2008,20081210,42.15,47.32,0.0152
11/12/2008,20081211,42.24,52.19,0.0152
12/12/2008,20081212,44.93,52.19,0.0304
15/12/2008,20081215,44.44,49.43,0.0101
16/12/2008,20081216,47.31,48.89,0.0203
17/12/2008,20081217,43.86,47.8,0.0177
18/12/2008,20081218,46.26,45.82,0.0279
19/12/2008,20081219,44.9,45.82,0.0532
22/12/2008,20081222,43.42,43.93,0.0101
23/12/2008,20081223,42.78,42.82,0.0127
24/12/2008,20081224,40.6,39.17,0.0127
25/12/2008,20081225,34.27,39.17,0.0203
26/12/2008,20081226,37.88,39.17,0.0127
29/12/2008,20081229,37.88,43.2,0.038
30/12/2008,20081230,40.05,42.92,0.038
31/12/2008,20081231,39.53,48.82,0.0253
01/01/2009,20090101,34.65,48.82,0.0253
02/01/2009,20090102,40.15,48.82,0.0101
05/01/2009,20090105,44.27,52.4,0.0406
06/01/2009,20090106,47.59,53.27,0.0558
07/01/2009,20090107,50.77,48.67,0.033
08/01/2009,20090108,48.96,47.55,0.0279
09/01/2009,20090109,45.47,47.55,0.0279
12/01/2009,20090112,44.16,45.52,0.0304
13/01/2009,20090113,42.71,47.44,0.0355
14/01/2009,20090114,43.83,47.62,0.0304
15/01/2009,20090115,45.14,47.68,0.033
16/01/2009,20090116,44.59,47.68,0.033
19/01/2009,20090119,47.58,46.57,0.0355
20/01/2009,20090120,44.85,43.62,0.0355
21/01/2009,20090121,44.17,45.02,0.0279
22/01/2009,20090122,44,45.39,0.0279
23/01/2009,20090123,44.97,45.39,0.0203
26/01/2009,20090126,45.25,46.96,0.0203
27/01/2009,20090127,48,43.73,0.038
28/01/2009,20090128,45.27,44.9,0.076
29/01/2009,20090129,44.48,45.4,0.1217
30/01/2009,20090130,44.8,45.4,0.1242
02/02/2009,20090202,45.99,43.82,0.1775
03/02/2009,20090203,44.47,44.08,0.2763
04/02/2009,20090204,44.27,44.15,0.2637
05/02/2009,20090205,44.5,46.46,0.2104
06/02/2009,20090206,45.04,46.46,0.213
09/02/2009,20090209,45.5,46.02,0.2206
10/02/2009,20090210,46.94,44.61,0.2383
11/02/2009,20090211,46.67,44.28,0.2282
12/02/2009,20090212,44.09,44.28,0.251
13/02/2009,20090213,44.52,44.28,0.251
16/02/2009,20090216,45.54,44.81,0.2358
17/02/2009,20090217,44.37,41.03,0.2535
18/02/2009,20090218,42.34,39.55,0.2332
19/02/2009,20090219,40.71,41.99,0.2206
20/02/2009,20090220,41.12,41.99,0.1775
23/02/2009,20090223,41,40.99,0.1851
24/02/2009,20090224,42.27,42.5,0.213
25/02/2009,20090225,41.55,44.29,0.1977
26/02/2009,20090226,43.03,46.51,0.1724
27/02/2009,20090227,45.57,46.51,0.1496
02/03/2009,20090302,45.67,42.21,0.1394
03/03/2009,20090303,43.81,43.7,0.1293
04/03/2009,20090304,43.46,46.12,0.1217
05/03/2009,20090305,45.57,43.64,0.1014
06/03/2009,20090306,44.82,43.64,0.109
09/03/2009,20090309,44.39,44.13,0.1191
10/03/2009,20090310,44.56,43.96,0.1318
11/03/2009,20090311,44.99,41.4,0.1293
12/03/2009,20090312,43.26,45.09,0.0963
13/03/2009,20090313,42.95,45.09,0.0913
