,Nile
1871-1,1120
1872-1,1160
1873-1,963
1874-1,1210
1875-1,1160
1876-1,1160
1877-1,813
1878-1,1230
1879-1,1370
1880-1,1140
1881-1,995
1882-1,935
1883-1,1110
1884-1,994
1885-1,1020
1886-1,960
1887-1,1180
1888-1,799
1889-1,958
1890-1,1140
1891-1,1100
1892-1,1210
1893-1,1150
1894-1,1250
1895-1,1260
1896-1,1220
1897-1,1030
1898-1,1100
1899-1,774
1900-1,840
1901-1,874
1902-1,694
1903-1,940
1904-1,833
1905-1,701
1906-1,916
1907-1,692
1908-1,1020
1909-1,1050
1910-1,969
1911-1,831
1912-1,726
1913-1,456
1914-1,824
1915-1,702
1916-1,1120
1917-1,1100
1918-1,832
1919-1,764
1920-1,821
1921-1,768
1922-1,845
1923-1,864
1924-1,862
1925-1,698
1926-1,845
1927-1,744
1928-1,796
1929-1,1040
1930-1,759
1931-1,781
1932-1,865
1933-1,845
1934-1,944
1935-1,984
1936-1,897
1937-1,822
1938-1,1010
1939-1,771
1940-1,676
1941-1,649
1942-1,846
1943-1,812
1944-1,742
1945-1,801
1946-1,1040
1947-1,860
1948-1,874
1949-1,848
1950-1,890
1951-1,744
1952-1,749
1953-1,838
1954-1,1050
1955-1,918
1956-1,986
1957-1,797
1958-1,923
1959-1,975
1960-1,815
1961-1,1020
1962-1,906
1963-1,901
1964-1,1170
1965-1,912
1966-1,746
1967-1,919
1968-1,718
1969-1,714
1970-1,740
